# NAME MSINI MSTAR A ECC
# mjupiter msun au 
WASP-14_b 7.65457 1.31 0.0367693 0.091
Kepler-50_b  1.23 0.0825598 
NN_Ser_d 0.642621  3.70596 0.05
Kepler-20_b 0.0266149 0.912 0.0453704 0
HAT-P-27_b 0.615135 0.92 0.0399488 0
HD_116029_b 2.1395 1.58 1.74607 0
HD_219828_b 0.0622185 1.24 0.0515012 0
Kepler-11_c 0.04247 0.95 0.106504 0
HD_1237_b 3.3748 0.9 0.494668 0.511
WASP-21_b 0.300201 1.01 0.0521087 0
HD_4308_b 0.0477376 0.933 0.119192 0
WASP-25_b 0.578118 1 0.0473714 0
HD_24040_b 4.02189 1.18 4.92406 0.04
HD_200964_b 1.83965 1.44 1.59682 0.04
HD_147018_b 2.12711 0.927 0.238855 0.4686
HD_218566_b 0.212872 0.85 0.687282 0.3
HD_45364_b 0.187149 0.82 0.68156 0.1684
HD_141937_b 9.4752 1.048 1.50087 0.41
HD_156668_b 0.0130582 0.772 0.0499846 0
MOA-2009-BLG-387L_b  0.19 1.76808 
Kepler-32_f  0.54 0.0130732 0
GJ_649_b 0.325341 0.54 1.13179 0.3
HD_132406_b 5.60495 1.09 1.98227 0.34
HD_38529_c 13.0799 1.477 3.71859 0.355094
Kepler-62_b  0.69 0.0552794 0.0707107
Kepler-49_c  0.55 0.07889 
Kepler-55_c  0.62 0.202122 
WASP-19_b 1.11405 0.93 0.0163152 0.0046
Kepler-26_b 0 0.65 0.0902469 0
HD_126614_A_b 0.385706 1.145 2.36847 0.41
HD_177830_b 1.53223 1.46388 1.227 0.096
HD_38283_b 0.338157 1.085 1.02382 0.41
HD_217786_b 13.1868 1.02 2.3791 0.4
HD_32518_b 3.34549 1.13 0.595162 0.01
WASP-18_b 10.0636 1.22 0.0201401 0.00848
CoRoT-6_b 2.95325 1.05 0.0854177 0
HD_73267_b 3.06257 0.89 2.19849 0.256
HD_147513_b 1.17965 1.072 1.30958 0.26
HD_72659_b 3.1741 1.068 4.75375 0.22
BD_+14_4559_b 1.51929 0.86 0.775866 0.29
HD_197037_b 0.807324 1.11 2.07477 0.22
HD_70642_b 1.90944 1.002 3.18072 0.034
KELT-2_A_b 1.52019 1.308 0.0549707 0
Kepler-10_b 0.0142142 0.895 0.0167573 0
HD_40307_c 0.0211468 0.74 0.0800702 0
HD_142_b 1.3057 1.232 1.04292 0.26
WASP-10_b 3.19034 0.79 0.0384536 0.0507142
WASP-17_b 0.507667 1.19 0.0499354 0
HAT-P-17_b 0.530106 0.857 0.0882385 0.346
HD_102329_b 5.86632 1.95 2.07041 0.211
HD_159868_b 2.1068 1.087 2.24636 0.01
HD_114783_b 1.10505 0.853 1.15987 0.144
GJ_581_e 0.00613456 0.31 0.028459 0.32
epsilon_Ret_b 1.54759 1.478 1.2667 0.06
GJ_674_b 0.034879 0.35 0.0386657 0.2
Kepler-57_c  0.83 0.0942979 
