#Nombre_Planeta M_Planeta(M_Jupiter) M_Estrella(M_Sol)
11_Com_b 19.4336 2.7
11_UMi_b 11.0873 1.8
14_And_b 4.68383 2.15
14_Her_b 5.21486 1.066
16_Cyg_B_b 1.63997 0.956
18_Del_b 10.2096 2.3
24_Sex_b 1.64828 1.54
24_Sex_c 1.3623 1.54
30_Ari_B_b 9.87792 1.16
42_Dra_b 3.73203 0.92
47_UMa_b 2.54589 1.063
47_UMa_c 0.545774 1.063
4_UMa_b 7.13242 1.234
51_Peg_b 0.461143 1.054
55_Cnc_b 0.801471 0.905
55_Cnc_c 0.164558 0.905
55_Cnc_d 3.54451 0.905
55_Cnc_e 0.0261924 0.905
55_Cnc_f 0.172877 0.905
61_Vir_b 0.016075 0.942
61_Vir_c 0.0333747 0.942
61_Vir_d 0.0715929 0.942
6_Lyn_b 2.20888 1.82
70_Vir_b 7.46144 1.101
75_Cet_b 3.04335 2.49
7_CMa_b 2.64541 1.52
81_Cet_b 5.34087 2.4
alpha_Ari_b 1.85989 1.5
alpha_Cen_B_b 0.00354639 0.934
BD_-08_2823_b 0.045941 0.74
BD_-08_2823_c 0.328101 0.74
BD_-10_3166_b 0.429903 0.92
BD_+14_4559_b 1.51929 0.86
BD_+20_2457_b 22.6726 2.8
BD_+20_2457_c 13.1737 2.8
BD_+48_738_b 0.922011 0.74
beta_Gem_b 2.68707 2
beta_Pic_b 8.99692 1.75
CoRoT-10_b 2.75448 0.89
CoRoT-11_b 2.33146 1.27
CoRoT-12_b 0.916321 1.078
CoRoT-13_b 1.3102 1.09
CoRoT-14_b 7.56823 1.13
CoRoT-16_b 0.535943 1.098
CoRoT-17_b 2.45898 1.04
CoRoT-18_b 3.48002 0.95
CoRoT-19_b 1.10724 1.21
CoRoT-1_b 1.02603 0.95
CoRoT-23_b 3.07662 1.14
CoRoT-2_b 3.27343 0.97
CoRoT-3_b 21.799 1.37
CoRoT-4_b 0.717419 1.16
CoRoT-5_b 0.461312 1
CoRoT-6_b 2.95325 1.05
CoRoT-7_b 0.0155646 0.93
CoRoT-8_b 0.215994 0.88
CoRoT-9_b 0.843564 0.99
epsilon_CrB_b 6.75624 1.7
epsilon_Eri_b 1.05448 0.82
epsilon_Ret_b 1.54759 1.478
epsilon_Tau_b 7.62034 2.7
gamma_Cep_b 1.77171 1.59
gamma_Leo_A_b 8.81783 1.23
GJ_1214_b 0.0203507 0.157
GJ_176_b 0.0259969 0.49
GJ_179_b 0.824243 0.357
GJ_317_b 1.17505 0.24
GJ_3470_b 0.0439877 0.541
GJ_3634_b 0.0221881 0.45
GJ_433_b 0.0181986 0.48
GJ_436_b 0.0725512 0.452
GJ_581_b 0.0499019 0.31
GJ_581_c 0.0167756 0.31
GJ_581_d 0.0191104 0.31
GJ_581_e 0.00613456 0.31
GJ_649_b 0.325341 0.54
GJ_667_C_b 0.0171709 0.33
GJ_667_C_c 0.0134408 0.33
GJ_674_b 0.034879 0.35
GJ_676_A_b 4.89701 0.71
GJ_832_b 0.644279 0.45
GJ_849_b 0.830886 0.49
GJ_86_b 4.00104 0.796
GJ_876_b 1.9469 0.32
GJ_876_c 0.612168 0.32
GJ_876_d 0.0184193 0.32
GJ_876_e 0.039229 0.32
HAT-P-11_b 0.0825071 0.81
HAT-P-12_b 0.210772 0.73
HAT-P-13_b 0.8514 1.22
HAT-P-13_c 14.2696 1.22
HAT-P-14_b 2.22166 1.386
HAT-P-15_b 1.9513 1.013
HAT-P-16_b 4.1951 1.218
HAT-P-17_b 0.530106 0.857
HAT-P-18_b 0.197162 0.77
HAT-P-19_b 0.292129 0.842
HAT-P-1_b 0.531143 1.133
HAT-P-20_b 7.27817 0.756
HAT-P-21_b 4.07346 0.947
HAT-P-22_b 2.14822 0.916
HAT-P-23_b 2.0884 1.13
HAT-P-24_b 0.685652 1.191
HAT-P-25_b 0.566683 1.01
HAT-P-26_b 0.0586313 0.816
